Timestamp,Temperature,Humidity,Pressure,Rain Sensor,Light Sensor,Wind Speed,Wind Bearing
2025-02-11 09:51:32,18.59,74.19,1025.16,3344,1409,47.0,292.0
2025-02-11 09:51:34,18.6,74.16,1025.21,3344,1425,47.0,292.0
2025-02-11 09:51:36,18.57,74.01,1025.2,3345,1473,47.0,292.0
2025-02-11 09:51:38,18.57,73.9,1025.19,3345,1457,47.0,292.0
2025-02-11 09:51:40,18.58,73.86,1025.19,3345,1424,47.0,292.0
2025-02-11 09:51:42,18.57,73.81,1025.19,3328,1313,47.0,292.0
2025-02-11 09:51:44,18.65,73.95,1025.18,3329,1376,47.0,292.0
2025-02-11 09:51:46,18.69,74.19,1025.12,3345,1377,47.0,292.0
2025-02-11 09:51:48,18.69,74.24,1025.18,3345,1313,47.0,292.0
2025-02-11 09:51:50,18.7,74.22,1025.17,3345,1328,47.0,292.0
2025-02-11 09:51:52,18.7,74.19,1025.16,3345,1457,47.0,292.0
2025-02-11 09:51:54,18.7,74.11,1025.18,3344,1488,47.0,292.0
2025-02-11 09:51:57,18.69,74.07,1025.14,3345,1425,47.0,292.0
2025-02-11 09:51:59,18.68,73.95,1025.16,3361,1392,47.0,292.0
2025-02-11 09:52:01,18.67,73.89,1025.16,3344,1440,47.0,292.0
2025-02-11 09:52:03,18.66,73.79,1025.17,3345,1456,47.0,292.0
2025-02-11 09:52:05,18.68,73.87,1025.16,3345,1425,47.0,292.0
2025-02-11 09:52:07,18.68,73.83,1025.19,3312,1409,47.0,292.0
2025-02-11 09:52:09,18.69,73.83,1025.17,3344,1440,47.0,292.0
2025-02-11 09:52:11,18.68,73.72,1025.15,3345,1440,47.0,292.0
2025-02-11 09:52:13,18.68,73.65,1025.17,3344,1408,47.0,292.0
2025-02-11 09:52:15,18.67,73.62,1025.16,3345,1312,47.0,292.0
2025-02-11 09:52:17,18.67,73.62,1025.14,3345,1297,47.0,292.0
2025-02-11 09:52:19,18.7,73.59,1025.18,3328,1009,47.0,292.0
2025-02-11 09:52:21,18.71,73.59,1025.16,3376,848,47.0,292.0
2025-02-11 09:52:23,18.72,73.58,1025.16,3344,1233,47.0,292.0
2025-02-11 09:52:25,18.75,73.69,1025.17,3344,1056,47.0,291.0
2025-02-11 09:52:27,18.76,73.7,1025.15,3345,1456,47.0,292.0
2025-02-11 09:52:29,18.77,73.7,1025.16,3344,1425,47.0,292.0
2025-02-11 09:52:31,18.78,73.61,1025.12,3344,1217,47.0,292.0
2025-02-11 09:52:33,18.83,73.77,1025.11,3344,1169,47.0,292.0
2025-02-11 09:52:35,18.84,73.82,1025.14,3344,1249,47.0,292.0
2025-02-11 09:52:37,18.83,73.77,1025.13,3344,1217,47.0,292.0
2025-02-11 09:52:39,18.85,73.7,1025.13,3344,1169,47.0,292.0
2025-02-11 09:52:41,18.94,73.93,1025.14,3344,912,47.0,292.0
2025-02-11 09:52:43,18.95,74.06,1025.13,3344,1008,47.0,292.0
2025-02-11 09:52:45,18.96,74.08,1025.14,3345,945,47.0,292.0
2025-02-11 09:52:47,18.97,74.08,1025.13,3344,977,47.0,292.0
2025-02-11 09:52:49,18.98,74.06,1025.17,3344,928,47.0,292.0
2025-02-11 09:52:51,18.97,74.02,1025.17,3345,880,47.0,292.0
2025-02-11 09:52:53,18.97,73.97,1025.13,3344,897,47.0,292.0
2025-02-11 09:52:55,18.97,73.88,1025.14,3328,1168,47.0,292.0
2025-02-11 09:52:57,18.97,73.82,1025.18,3344,1457,47.0,292.0
2025-02-11 09:52:59,18.93,73.71,1025.13,3345,1793,47.0,292.0
2025-02-11 09:53:01,18.91,73.6,1025.17,3328,1921,47.0,292.0
2025-02-11 09:53:03,18.89,73.54,1025.11,3345,1472,47.0,292.0
2025-02-11 09:53:05,18.89,73.54,1025.15,3344,1440,47.0,292.0
2025-02-11 09:53:07,18.89,73.59,1025.15,3393,1489,47.0,292.0
2025-02-11 09:53:09,18.89,73.59,1025.15,3345,1489,47.0,292.0
2025-02-11 09:53:11,18.89,73.62,1025.15,3345,1425,47.0,292.0
2025-02-11 09:53:13,18.91,73.72,1025.13,3344,1425,47.0,292.0
2025-02-11 09:53:15,18.88,73.61,1025.14,3328,1552,47.0,292.0
